c_early,makespan,total_cost
2000,259.23152380635037,431223.17124246806
2000,208.1427027457999,359223.1277347838
2000,187.60060468587866,350836.90765657474
2000,230.9125619695189,386651.0343056355
2000,203.22169111790885,355323.07821446087
2000,201.7966645337068,354142.50966447487
2000,205.38397757230075,356818.10387638386
2000,208.54610157734103,359644.7131553845
2000,199.86293424625262,352455.41806137597
2000,205.8378308552426,356933.07420049177
2000,206.07055424808564,357043.57832649734
2000,207.44915249631296,358420.3129584305
2000,218.17318949759849,370216.08322542894
2000,230.80177173178015,386481.26050139964
2000,201.6102416634814,353983.37956911826
2000,186.73032496592262,351471.74715562956
2000,198.8760487997264,352101.86628567934
2000,220.3196982345322,373205.1101459967
2000,246.3389291104568,409104.51919889246
2000,208.47980751390605,359567.9094850208
2000,203.63394219951772,355585.87281853426
2000,201.47965674892342,353878.6884902412
2000,231.14304585756727,386843.852812861
2000,192.38860458456517,351707.3460543917
2000,188.09742263987837,351125.4524663012
2000,191.26594214736673,351031.06617947394
2000,186.23713195245406,352266.36730826146
2000,222.15833756706868,375472.6476287007
2000,189.74959516114734,350374.5095132167
2000,203.90204577198597,355272.5251096424
2000,236.70395494433583,394492.9368453176
2000,220.72798151460154,373876.079511144
2000,222.53907511986216,375551.0384279046
2000,205.71835733794538,357080.08101726975
2000,218.2834184305897,370283.2663828925
2000,223.96293699952324,377225.9765631121
2000,189.12458150027828,349644.0387161331
2000,214.71746257533974,366329.8165415654
2000,258.9017425972222,430740.40962682
2000,196.2882531056013,350985.5107575712
2000,208.1507572431285,359201.5555151508
2000,194.56547347576907,350725.11483437085
2000,256.6469823568547,426984.241904291
2000,191.02430645144136,351303.024540092
2000,203.2894049191242,354994.30840507755
2000,214.69972017930937,366500.0717496809
2000,223.02895385557983,376105.2917416289
2000,209.9204113926405,361025.0053996452
2000,257.35971087502793,428178.43524020305
2000,203.6686667408062,355592.4313406085
2000,194.52403745942743,350736.9219610257
2000,195.22355996559938,350955.8682233499
2000,260.7779267563581,434220.2955459128
2000,248.1734268870646,412118.1223083342
2000,213.65868117200029,365295.0762703648
2000,199.0789541117382,352337.98446908745
2000,215.61022058786216,367195.90058902645
2000,200.61843467500637,353105.1836667006
2000,217.49502209975708,369633.1359701447
2000,186.26229582593757,351908.3954211486
2000,195.9876504969208,350873.7959823278
2000,213.82701957908327,365461.76196347177
2000,204.34120886461463,355879.91665309115
2000,232.4780628889072,388594.3666545594
2000,223.13455529558973,376210.2669119749
2000,267.45783256707404,445999.7326373515
2000,201.90591066620206,354097.7743978611
2000,192.840981178287,351579.26936956623
2000,246.25765984745357,408978.62089220755
2000,221.59675779164382,374739.67727838294
2000,266.7749203633083,444721.4065477322
2000,222.28972581812374,375657.67605967226
2000,230.79792240138198,386480.18898690486
2000,231.10092985608654,386804.87386636157
2000,217.664040261912,369398.78426653903
2000,213.54281317655725,365225.53300773015
2000,213.79770978133465,365411.67826346966
2000,220.20249809543907,373036.0195476706
2000,223.73867573599787,376909.6444902906
2000,200.71887342880507,352998.49801182194
2000,189.31352496625115,349685.4995730214
2000,220.85202957411872,373784.10328357655
2000,261.76730755594764,435809.172969791
2000,207.44994144713465,358394.70670786605
2000,266.7852183446941,444737.3179221638
2000,212.30974902561633,363372.221531332
2000,204.44573594986755,356087.82823861664
2000,230.52555827709014,386031.83747104753
2000,230.42084520848235,385911.4955392288
2000,190.22893494137756,350476.6506768011
2000,245.59152741130023,407757.2191577668
2000,201.43469847023235,353790.8929932768
2000,223.60167380328843,376783.6734772866
2000,207.97855153519245,359106.0543827142
2000,201.55508185751452,354018.98240058904
2000,221.675800316815,374801.85243058717
2000,208.77918326184226,359675.95989303413
2000,187.0388628183077,351404.97241127724
2000,192.197355381887,351526.01042150625
2000,239.50452976152437,398154.0896255281
2000,228.9965687938647,383797.8836147613
2000,238.49949514809165,396797.25945747213
2000,205.51442244546385,357077.4788203066
2000,219.12674724764787,371577.0916806319
2000,201.2345405155017,353685.1940183857
2000,197.74595822286173,351852.62095337315
2000,194.66326684411368,350699.66686951503
2000,231.28908859608643,386998.07803430606
2000,199.29347299016044,352467.2070233512
